TYPE	NAME	ACQUIRED_VIA	ID
Body	Assault Force Body G1	collab/shop/RE	PT_MIL_TOPS_0G1
Body	Clay Figurine Armor RE	collab/shop/RE	PT_REC_TOPS_001
Body	Combat Diver Body	tower drop	PT_MIL_TOPS_017
Body	DIY Attack Coat EL	collab/shop/RE	PT_SPE_TOPS_009
Body	Exo-armor Body	tower drop	PT_MIL_TOPS_031
Body	Fencing Armor	tower drop	PT_FAN_TOPS_005
Body	Hard Target Body	tower drop	PT_SPO_TOPS_031
Body	Hell Napalm Body	collab/shop/RE	PT_MIL_TOPS_022
Body	Hell Steel Body	collab/shop/RE	PT_DIY_TOPS_022
Body	Hell Thunder Armor	collab/shop/RE	PT_FAN_TOPS_022
Body	Iron Eagle Body RE	collab/shop/RE	PT_REC_TOPS_003
Body	Jackal X Body	tower drop	PT_JAC_TOPS_001
Body	Jackal X Body D	collab/shop/RE	PT_JAC_TOPS_201
Body	Jackal Y Body	tower drop	PT_JAC_TOPS_002
Body	Jackal Y Body D	collab/shop/RE	PT_JAC_TOPS_202
Body	Jackal Z Body	tower drop	PT_JAC_TOPS_003
Body	Jackal Z Body D	collab/shop/RE	PT_JAC_TOPS_203
Body	Kat Body 1	collab/shop/RE	PT_SPE_TOPS_003
Body	Kendo Body	tower drop	PT_SPO_TOPS_007
Body	Knight's Armor ZX	tower drop	PT_FAN_TOPS_0A1
Body	Night Raider Body WoT01	tower drop	PT_MIL_TOPS_1007
Body	Paladin Armor EW	collab/shop/RE	PT_SPE_TOPS_005
Body	Pale Wind Body	collab/shop/RE	PT_SPO_TOPS_021
Body	Phantom Soldier Body WoT01	tower drop	PT_MIL_TOPS_1005
Body	PT_SPE_TOPS_021	collab/shop/RE	PT_SPE_TOPS_021
Body	PT_SPE_TOPS_027	collab/shop/RE	PT_SPE_TOPS_027
Body	PT_SPE_TOPS_029	collab/shop/RE	PT_SPE_TOPS_029
Body	PT_SPO_TOPS_022	collab/shop/RE	PT_SPO_TOPS_022
Body	Red Napalm Body	collab/shop/RE	PT_MIL_TOPS_021
Body	Sengoku Armor BT	collab/shop/RE	PT_SPE_TOPS_007
Body	Tank Commander Armor Ver.1	collab/shop/RE	PT_SPE_TOPS_011
Body	Travis' Jacket 1	collab/shop/RE	PT_SPE_TOPS_015
Body	Violent Grinder Body	tower drop	PT_DIY_TOPS_031
Body	White Steel Body	collab/shop/RE	PT_DIY_TOPS_021
Head	4M Gas Mask N	final/uncap	PT_GAS_HEAD_0N1
Head	Assault Force Head G1	collab/shop/RE	PT_MIL_HEAD_0G1
Head	Barrett Punisher Head	tower drop	PT_MIL_HEAD_015
Head	Black Thunder Helmet	collab/shop/RE	PT_FAN_HEAD_021
Head	Clay Figurine Helmet RE	collab/shop/RE	PT_REC_HEAD_001
Head	Combat Diver Head	tower drop	PT_MIL_HEAD_017
Head	Desert Scarf N	final/uncap	PT_GAS_HEAD_0N8
Head	Exo-armor Head	tower drop	PT_MIL_HEAD_031
Head	Fencer's Mask N	final/uncap	PT_GAS_HEAD_0N7
Head	Fencing Helmet	tower drop	PT_FAN_HEAD_005
Head	Happy Yuppie Glasses	collab/shop/RE	PT_SPE_HEAD_024
Head	Hard Target Head	tower drop	PT_SPO_HEAD_031
Head	Hell Napalm Head	collab/shop/RE	PT_MIL_HEAD_022
Head	Hell Steel Head	collab/shop/RE	PT_DIY_HEAD_022
Head	Hell Thunder Helmet	collab/shop/RE	PT_FAN_HEAD_022
Head	Iron Eagle Head RE	collab/shop/RE	PT_REC_HEAD_003
Head	Iron Mask N	final/uncap	PT_GAS_HEAD_0N5
Head	Jackal X Head	tower drop	PT_JAC_HEAD_001
Head	Jackal X Head D	collab/shop/RE	PT_JAC_HEAD_201
Head	Jackal Y Head	tower drop	PT_JAC_HEAD_002
Head	Jackal Y Head D	collab/shop/RE	PT_JAC_HEAD_202
Head	Jackal Z Head	tower drop	PT_JAC_HEAD_003
Head	Jackal Z Head D	collab/shop/RE	PT_JAC_HEAD_203
Head	Kat Head 1	collab/shop/RE	PT_SPE_HEAD_003
Head	Kendo Mask	tower drop	PT_SPO_HEAD_007
Head	Knight's Helm ZX	tower drop	PT_FAN_HEAD_0A1
Head	M42 Gas Mask N	final/uncap	PT_GAS_HEAD_0N2
Head	Meijin Head 1	collab/shop/RE	PT_SPE_HEAD_021
Head	Momoko Yamada Head 1	collab/shop/RE	PT_SPE_HEAD_027
Head	Night Raider Head WoT01	tower drop	PT_MIL_HEAD_1007
Head	Pale Wind Head	collab/shop/RE	PT_SPO_HEAD_021
Head	Phantom Soldier Head WoT01	tower drop	PT_MIL_HEAD_1005
Head	Pilot’s Mask N	final/uncap	PT_GAS_HEAD_0N4
Head	PT_SPE_HEAD_029	collab/shop/RE	PT_SPE_HEAD_029
Head	PT_SPO_HEAD_022	collab/shop/RE	PT_SPO_HEAD_022
Head	Red Napalm Head	collab/shop/RE	PT_MIL_HEAD_021
Head	Space Funglasses	collab/shop/RE	PT_SPE_HEAD_013
Head	Surgical Mask N	final/uncap	PT_GAS_HEAD_0N3
Head	Tank Commander Helmet Ver.1	collab/shop/RE	PT_SPE_HEAD_011
Head	Travis' Sunglasses 1	collab/shop/RE	PT_SPE_HEAD_015
Head	Tuscan Mask N	final/uncap	PT_GAS_HEAD_0N6
Head	Ultra 3D Glasses	collab/shop/RE	PT_SPE_HEAD_017
Head	Ultra 3D Glasses W1	collab/shop/RE	PT_SPE_HEAD_019
Head	Uncle-D2 Head 1	collab/shop/RE	PT_SPE_HEAD_025
Head	Violent Grinder Head	tower drop	PT_DIY_HEAD_031
Head	X-Rated Glasses	collab/shop/RE	PT_SPE_HEAD_018
Head	X-Ray Glasses	collab/shop/RE	PT_SPE_HEAD_001
Head	X-Ray Glasses	collab/shop/RE	PT_SPE_HEAD_002
Legs	Assault Force Pants G1	collab/shop/RE	PT_MIL_BTM_0G1
Legs	Black Thunder Leggings	collab/shop/RE	PT_FAN_BTM_021
Legs	Clay Figurine Leggings RE	collab/shop/RE	PT_REC_BTM_001
Legs	Combat Diver Pants	tower drop	PT_MIL_BTM_017
Legs	Cycle Madness Pants	tower drop	PT_SPO_BTM_015
Legs	Exo-armor Pants	tower drop	PT_MIL_BTM_031
Legs	Fencing Leggings	tower drop	PT_FAN_BTM_005
Legs	Hard Target Pants	tower drop	PT_SPO_BTM_031
Legs	Hell Napalm Pants	collab/shop/RE	PT_MIL_BTM_022
Legs	Hell Steel Leggings	collab/shop/RE	PT_DIY_BTM_022
Legs	Hell Thunder Leggings	collab/shop/RE	PT_FAN_BTM_022
Legs	Iron Eagle Pants RE	collab/shop/RE	PT_REC_BTM_003
Legs	Jackal X Pants	tower drop	PT_JAC_BTM_001
Legs	Jackal X Pants D	collab/shop/RE	PT_JAC_BTM_201
Legs	Jackal Y Pants	tower drop	PT_JAC_BTM_002
Legs	Jackal Y Pants D	collab/shop/RE	PT_JAC_BTM_202
Legs	Jackal Z Pants	tower drop	PT_JAC_BTM_003
Legs	Jackal Z Pants D	collab/shop/RE	PT_JAC_BTM_203
Legs	Kat Boots 1	collab/shop/RE	PT_SPE_BTM_003
Legs	Kendo Pants	tower drop	PT_SPO_BTM_007
Legs	Knight's Leggings ZX	tower drop	PT_FAN_BTM_0A1
Legs	Night Raider Pants WoT01	tower drop	PT_MIL_BTM_1007
Legs	Pale Wind Pants	collab/shop/RE	PT_SPO_BTM_021
Legs	Phantom Soldier Pants WoT01	tower drop	PT_MIL_BTM_1005
Legs	PT_SPE_BTM_021	collab/shop/RE	PT_SPE_BTM_021
Legs	PT_SPE_BTM_027	collab/shop/RE	PT_SPE_BTM_027
Legs	PT_SPE_BTM_029	collab/shop/RE	PT_SPE_BTM_029
Legs	PT_SPO_BTM_022	collab/shop/RE	PT_SPO_BTM_022
Legs	Reaper's Pants	collab/shop/RE	PT_SPE_BTM_001
Legs	Red Napalm Pants	collab/shop/RE	PT_MIL_BTM_021
Legs	Tank Commander Pants Ver.1	collab/shop/RE	PT_SPE_BTM_011
