TYPE	NAME	ID
Body	Alien Roadster Body	PT_DIY_TOPS_016
Body	Alien Roadster Body +	PT_DIY_TOPS_116
Body	Alien Roadster Body +	PT_DIY_TOPS_116_G
Body	Apocalyptic Hockey Body A	PT_SPO_TOPS_101
Body	Arahabaki Armor	PT_FAN_TOPS_008
Body	Arahabaki Armor RE	PT_REC_TOPS_002
Body	Arahabaki Armor S	PT_FAN_TOPS_108
Body	Arahabaki Armor S	PT_FAN_TOPS_108_G
Body	Arahabaki Armor S RE	PT_REC_TOPS_102
Body	Arahabaki Armor S RE	PT_REC_TOPS_102_G
Body	Assault Force Body G1	PT_MIL_TOPS_0G1
Body	Assault Force Body G2	PT_MIL_TOPS_1G1
Body	Assault Master Body G	PT_MIL_TOPS_0G2
Body	Avatar of Zard Mail	PT_FAN_TOPS_004
Body	Avatar of Zard Mail S	PT_FAN_TOPS_104
Body	Avatar of Zard Mail S	PT_FAN_TOPS_104_G
Body	Barrett Punisher Body E	PT_MIL_TOPS_115
Body	Battle Trucker Apron	PT_DIY_TOPS_010
Body	Battle Trucker Apron +	PT_DIY_TOPS_110
Body	Battle Trucker Apron +	PT_DIY_TOPS_110_G
Body	Berserker Armor	PT_FAN_TOPS_020
Body	Berserker Armor S	PT_FAN_TOPS_120
Body	Berserker Armor S	PT_FAN_TOPS_120_G
Body	Bishop's Coat	PT_FAN_TOPS_018
Body	Bishop's Coat S	PT_FAN_TOPS_118
Body	Bishop's Coat S	PT_FAN_TOPS_118_G
Body	Black Belt Terror Body	PT_SPO_TOPS_020
Body	Black Belt Terror Body A	PT_SPO_TOPS_120
Body	Black Belt Terror Body A	PT_SPO_TOPS_120_G
Body	Black Thunder Armor	PT_FAN_TOPS_021_G
Body	Blitz Bowler Body A	PT_SPO_TOPS_113
Body	Blood Diver Body	PT_SPO_TOPS_018
Body	Blood Diver Body A	PT_SPO_TOPS_118
Body	Blood Diver Body A	PT_SPO_TOPS_118_G
Body	Bushido Body	PT_SPO_TOPS_008
Body	Bushido Body A	PT_SPO_TOPS_108
Body	Bushido Body A	PT_SPO_TOPS_108_G
